,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:20.5,884.88,-178.37,-378.37,160.84,80.03,,,
00:20.5,885.99,-177.32,-378.72,163.02,79.77,,,
00:20.6,887.1,-176.26,-379.03,165.23,79.5,,,
00:20.6,888.21,-175.19,-379.31,167.37,79.22,,,
00:20.7,889.31,-174.12,-379.54,169.42,78.93,,,
00:20.8,890.4,-173.04,-379.73,171.43,78.64,,,
00:20.8,891.49,-171.96,-379.88,173.48,78.36,,,
00:20.8,892.58,-170.88,-379.98,175.58,78.09,,,
00:20.9,893.67,-169.8,-380.05,177.7,77.83,,,
00:21.0,894.75,-168.72,-380.08,35.82,77.57,,,
00:21.0,895.83,-167.64,-380.07,-178.07,77.3,,,
00:21.1,896.9,-166.57,-380.01,-175.93,77.04,,,
00:21.1,897.97,-165.51,-379.92,-173.78,77.01,,,
00:21.1,899.04,-164.44,-379.79,-171.63,77.4,,,
00:21.2,900.13,-163.38,-379.62,-169.56,77.95,,,
00:21.2,901.21,-162.31,-379.42,-167.57,78.59,,,
00:21.3,902.31,-161.24,-379.17,-165.55,79.22,,,
00:21.4,903.42,-160.18,-378.88,-163.48,79.86,,,
00:21.4,904.53,-159.11,-378.55,-161.4,80.51,,,
00:21.5,905.66,-158.05,-378.18,-159.35,81.17,,,
00:21.5,906.79,-157,-377.77,-157.3,81.82,,,
00:21.5,907.93,-155.95,-377.33,-155.23,82.47,,,
00:21.6,909.08,-154.91,-376.84,-153.15,83.13,,,
00:21.7,910.24,-153.87,-376.32,-151.09,83.8,,,
00:21.7,911.41,-152.85,-375.76,-149.06,84.54,,,
00:21.8,912.59,-151.83,-375.16,-147.1,85.3,,,
00:21.8,913.78,-150.83,-374.51,-145.21,86.07,,,
00:21.9,914.98,-149.84,-373.84,-143.39,86.9,,,
00:21.9,916.2,-148.86,-373.12,-141.58,87.77,,,
00:22.0,917.42,-147.89,-372.37,-139.76,88.69,,,
00:22.0,918.66,-146.94,-371.58,-137.92,89.62,,,
00:22.1,919.91,-146,-370.75,-136.11,90.57,,,
00:22.1,921.17,-145.07,-369.89,-134.41,91.57,,,
00:22.1,922.45,-144.16,-368.99,-132.86,92.58,,,
00:22.2,923.74,-143.27,-368.06,-131.45,93.64,,,
