,sLapDistance,xCarX,xCarY,aYaw,vCar
00:23.6,892.07,28.93,-38.94,-141.18,125.68
00:23.7,893.8,30.28,-37.86,-140.19,123.88
00:23.8,895.51,31.61,-36.78,-139.05,122
00:23.8,897.19,32.89,-35.7,-137.81,120.07
00:23.8,898.85,34.14,-34.62,-136.93,118.15
00:23.9,900.47,35.34,-33.52,-136.44,116.4
00:23.9,902.08,36.51,-32.42,-135.76,114.77
00:24.0,903.66,37.65,-31.32,-134.94,113.21
00:24.0,905.22,38.76,-30.22,-134.03,111.73
00:24.1,906.76,39.84,-29.12,-132.64,110.37
00:24.1,908.29,40.89,-28.02,-130.9,109.02
00:24.2,909.79,41.91,-26.91,-128.9,107.58
00:24.2,911.27,42.88,-25.79,-126.62,106.3
00:24.3,912.74,43.81,-24.65,-124.63,104.99
00:24.4,914.18,44.7,-23.5,-123,103.65
00:24.4,915.61,45.53,-22.34,-121.37,102.44
00:24.4,917.03,46.33,-21.17,-119.77,101.36
