,sLapDistance,xCarX,xCarY,aYaw,vCar
00:16.5,655.96,-147.93,-336.61,-84.27,94.36
00:16.5,657.28,-148.03,-335.29,-82.76,95.5
00:16.6,658.61,-148.16,-333.97,-81.42,96.67
00:16.6,659.96,-148.33,-332.63,-80.2,97.81
00:16.6,661.33,-148.53,-331.27,-79,98.93
00:16.7,662.71,-148.76,-329.91,-77.78,100.01
00:16.7,664.1,-149.02,-328.54,-76.5,101.05
00:16.8,665.51,-149.32,-327.16,-75.23,102.11
00:16.9,666.94,-149.64,-325.77,-74.07,103.22
00:16.9,668.38,-149.99,-324.38,-73.11,104.37
00:16.9,669.83,-150.37,-322.97,-72.27,105.55
00:17.0,671.31,-150.78,-321.55,-71.46,106.72
00:17.0,672.8,-151.22,-320.13,-70.63,107.94
00:17.1,674.31,-151.69,-318.7,-69.82,109.27
00:17.1,675.83,-152.19,-317.25,-69.13,110.74
00:17.2,677.38,-152.71,-315.8,-68.56,112.23
00:17.3,678.95,-153.26,-314.33,-68.16,113.71
00:17.3,680.54,-153.82,-312.84,-67.97,115.17
00:17.4,682.15,-154.41,-311.34,-68.03,116.66
00:17.4,683.78,-155,-309.82,-68.42,118.12
00:17.5,685.43,-155.59,-308.28,-69.22,119.54
00:17.5,687.1,-156.18,-306.72,-70.43,120.8
00:17.6,688.78,-156.74,-305.14,-71.73,120.82
00:17.6,690.45,-157.27,-303.55,-73.11,120.26
00:17.6,692.11,-157.77,-301.97,-74.33,119.58
00:17.7,693.77,-158.24,-300.38,-75.12,118.7
00:17.7,695.41,-158.69,-298.8,-75.75,117.36
00:17.8,697.03,-159.1,-297.24,-76.61,115.6
00:17.8,698.62,-159.48,-295.69,-77.7,113.7
00:17.9,700.18,-159.82,-294.16,-78.82,111.88
00:17.9,701.73,-160.13,-292.66,-79.9,110.18
00:18.0,703.24,-160.41,-291.16,-81,108.69
00:18.0,704.75,-160.66,-289.68,-82.13,107.45
00:18.1,706.23,-160.87,-288.21,-83.29,106.4
00:18.1,707.7,-161.05,-286.76,-84.55,105.33
00:18.2,709.15,-161.2,-285.31,-85.91,104.14
00:18.3,710.59,-161.31,-283.88,-87.35,102.71
00:18.3,712.01,-161.39,-282.47,-88.81,101.22
00:18.4,713.4,-161.44,-281.07,-90.29,99.67
00:18.4,714.77,-161.45,-279.7,-91.81,98.08
00:18.4,716.12,-161.43,-278.35,-93.37,96.51
00:18.5,717.45,-161.37,-277.02,-94.91,94.9
00:18.6,718.76,-161.29,-275.72,-96.38,93.29
00:18.6,720.04,-161.16,-274.44,-97.77,91.69
00:18.6,721.31,-161.01,-273.19,-99.1,90.12
00:18.7,722.55,-160.82,-271.97,-100.47,88.62
00:18.7,723.77,-160.6,-270.77,-101.91,87.21
00:18.8,724.97,-160.35,-269.59,-103.42,85.89
00:18.8,726.16,-160.07,-268.44,-105.07,84.64
00:18.9,727.33,-159.76,-267.32,-106.83,83.5
00:19.0,728.48,-159.42,-266.22,-108.67,82.42
00:19.0,729.62,-159.04,-265.15,-110.73,81.43
00:19.1,730.75,-158.62,-264.11,-112.92,80.54
00:19.1,731.86,-158.18,-263.09,-115.07,79.71
00:19.1,732.97,-157.7,-262.1,-117.19,78.98
00:19.2,734.06,-157.18,-261.14,-119.44,78.35
00:19.3,735.15,-156.63,-260.2,-121.75,77.85
00:19.3,736.23,-156.05,-259.3,-124.01,77.37
00:19.4,737.31,-155.43,-258.42,-126.28,76.89
00:19.4,738.38,-154.78,-257.57,-128.65,76.66
00:19.5,739.44,-154.1,-256.76,-131.03,76.65
00:19.5,740.51,-153.39,-255.97,-133.32,76.79
00:19.6,741.59,-152.64,-255.21,-135.61,77.07
00:19.6,742.66,-151.85,-254.47,-137.89,77.56
00:19.6,743.75,-151.03,-253.77,-140.17,78.18
00:19.7,744.84,-150.18,-253.09,-142.51,78.92
00:19.7,745.95,-149.29,-252.44,-144.94,79.78
00:19.8,747.07,-148.37,-251.81,-147.31,80.7
00:19.8,748.2,-147.41,-251.22,-149.44,81.66
00:19.9,749.34,-146.42,-250.65,-151.25,82.66
00:20.0,750.5,-145.41,-250.1,-152.83,83.69
00:20.0,751.67,-144.36,-249.58,-154.5,84.78
00:20.1,752.86,-143.28,-249.08,-156.34,85.92
00:20.1,754.06,-142.18,-248.61,-158.14,87.15
00:20.1,755.28,-141.04,-248.16,-159.78,88.35
00:20.2,756.52,-139.88,-247.74,-161.44,89.56
00:20.3,757.77,-138.69,-247.35,-163.03,90.82
00:20.3,759.04,-137.48,-246.98,-164.39,92.11
00:20.4,760.33,-136.24,-246.63,-165.58,93.37
00:20.4,761.64,-134.98,-246.3,-166.78,94.64
00:20.5,762.96,-133.69,-246,-168.05,95.92
00:20.5,764.3,-132.38,-245.71,-169.38,97.19
00:20.5,765.66,-131.05,-245.45,-170.77,98.44
00:20.6,767.04,-129.69,-245.21,-172.06,99.75
00:20.6,768.43,-128.31,-244.99,-173.16,101.11
00:20.7,769.84,-126.91,-244.8,-174.12,102.44
00:20.8,771.28,-125.49,-244.63,-174.96,103.79
