,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:16.3,754.9,263.61,143.46,-113.92,120.78,,,
00:16.3,756.56,264.33,144.97,-112.35,119.74,,,
00:16.3,758.22,265,146.48,-110.77,118.7,,,
00:16.4,759.86,265.62,148,-109.29,117.69,,,
00:16.5,761.49,266.2,149.52,-107.9,116.68,,,
00:16.5,763.1,266.73,151.05,-106.54,115.7,,,
00:16.6,764.7,267.22,152.57,-105.2,114.77,,,
00:16.6,766.29,267.66,154.09,-103.83,113.83,,,
00:16.6,767.86,268.07,155.62,-102.35,112.91,,,
00:16.7,769.42,268.43,157.13,-100.81,111.99,,,
00:16.7,770.97,268.75,158.65,-99.24,111.11,,,
00:16.8,772.51,269.02,160.16,-97.6,110.25,,,
00:16.9,774.04,269.25,161.67,-96.01,109.44,,,
00:16.9,775.55,269.44,163.17,-94.52,108.66,,,
00:16.9,777.05,269.59,164.67,-93.02,107.91,,,
00:17.0,778.54,269.69,166.16,-91.46,107.23,,,
00:17.0,780.03,269.76,167.64,-89.96,106.62,,,
00:17.1,781.5,269.8,169.11,-88.5,106.02,,,
00:17.1,782.97,269.79,170.58,-87.02,105.4,,,
00:17.2,784.43,269.75,172.04,-85.49,104.78,,,
00:17.3,785.88,269.67,173.49,-83.94,104.16,,,
00:17.3,787.32,269.55,174.93,-82.53,103.62,,,
00:17.4,788.76,269.39,176.35,-81.17,103.37,,,
00:17.4,790.19,269.2,177.77,-79.77,103.29,,,
00:17.5,791.63,268.97,179.19,-78.51,103.36,,,
00:17.5,793.06,268.71,180.6,-77.36,103.55,,,
00:17.6,794.5,268.41,182.01,-76.05,103.83,,,
00:17.6,795.95,268.07,183.42,-74.56,104.2,,,
00:17.6,797.4,267.7,184.82,-73.07,104.58,,,
00:17.7,798.85,267.29,186.21,-71.73,104.94,,,
00:17.7,800.31,266.85,187.6,-70.29,105.34,,,
00:17.8,801.78,266.36,188.98,-68.66,105.77,,,
00:17.8,803.25,265.84,190.36,-66.95,106.24,,,
00:17.9,804.73,265.28,191.73,-65.41,106.84,,,
00:17.9,806.21,264.69,193.09,-64.16,107.36,,,
00:18.0,807.71,264.06,194.45,-62.82,107.92,,,
00:18.0,809.21,263.4,195.8,-61.39,108.59,,,
00:18.1,810.72,262.71,197.14,-59.86,109.19,,,
00:18.1,812.24,261.99,198.48,-58.16,109.69,,,
00:18.2,813.76,261.23,199.81,-56.4,110.22,,,
00:18.3,815.29,260.44,201.12,-54.66,110.76,,,
00:18.3,816.83,259.6,202.42,-53.08,111.34,,,
00:18.4,818.38,258.74,203.7,-51.92,112.03,,,
00:18.4,819.94,257.83,204.97,-51,112.67,,,
00:18.4,821.51,256.9,206.24,-49.91,113.2,,,
00:18.5,823.08,255.95,207.49,-48.43,113.86,,,
00:18.6,824.66,254.97,208.74,-46.73,114.67,,,
00:18.6,826.26,253.96,209.98,-44.92,115.42,,,
00:18.6,827.86,252.92,211.21,-43.11,116.1,,,
00:18.7,829.47,251.85,212.41,-41.61,116.79,,,
00:18.7,831.1,250.74,213.61,-40.72,117.46,,,
00:18.8,832.73,249.61,214.79,-40.59,118.21,,,
00:18.8,834.38,248.46,215.97,-41.32,119.05,,,
00:18.9,836.04,247.3,217.15,-42.59,119.9,,,
00:19.0,837.72,246.11,218.34,-43.85,121.35,,,
00:19.0,839.42,244.91,219.53,-44.77,122.94,,,
00:19.1,841.14,243.69,220.74,-44.98,124.23,,,
00:19.1,842.87,242.45,221.96,-44.69,125.51,,,
00:19.1,844.62,241.21,223.19,-44.22,126.79,,,
00:19.2,846.39,239.94,224.42,-43.78,128.03,,,
00:19.3,848.18,238.66,225.67,-43.56,129.23,,,
00:19.3,849.98,237.36,226.92,-43.79,130.14,,,
00:19.4,851.79,236.07,228.19,-44.7,130.04,,,
00:19.4,853.59,234.8,229.46,-46.04,129.19,,,
00:19.5,855.37,233.56,230.75,-47.49,127.91,,,
00:19.5,857.14,232.36,232.05,-48.93,126.45,,,
00:19.6,858.88,231.2,233.35,-50.23,124.95,,,
00:19.6,860.61,230.08,234.66,-51.42,123.53,,,
00:19.6,862.31,228.99,235.97,-52.68,122.21,,,
00:19.7,864,227.93,237.29,-53.95,120.86,,,
00:19.7,865.67,226.91,238.61,-55.15,119.57,,,
00:19.8,867.32,225.92,239.93,-56.32,118.37,,,
00:19.8,868.95,224.98,241.27,-57.51,117.15,,,
00:19.9,870.57,224.07,242.61,-58.69,115.9,,,
00:20.0,872.17,223.21,243.96,-59.8,114.71,,,
00:20.0,873.76,222.39,245.31,-60.95,113.53,,,
00:20.1,875.33,221.61,246.67,-62.14,112.4,,,
00:20.1,876.88,220.87,248.04,-63.39,111.32,,,
00:20.1,878.42,220.17,249.41,-64.9,110.34,,,
00:20.2,879.95,219.51,250.79,-66.67,109.48,,,
00:20.3,881.46,218.9,252.18,-68.44,108.73,,,
00:20.3,882.97,218.33,253.57,-70.09,108.01,,,
00:20.4,884.46,217.81,254.97,-71.76,107.35,,,
00:20.4,885.95,217.33,256.38,-73.53,106.73,,,
00:20.5,887.43,216.89,257.79,-75.33,106.1,,,
00:20.5,888.9,216.5,259.21,-77.15,105.45,,,
00:20.5,890.36,216.16,260.62,-78.92,104.8,,,
00:20.6,891.81,215.87,262.04,-80.49,104.17,,,
00:20.6,893.26,215.62,263.46,-82.06,103.54,,,
00:20.7,894.69,215.42,264.88,-83.91,103.15,,,
00:20.8,896.12,215.26,266.31,-85.77,103.06,,,
