,sLapDistance,xCarX,xCarY,aYaw,vCar
00:18.7,702.96,430.09,467.5,100.89,94.22
00:18.8,704.28,430.35,466.21,99.63,95.56
00:18.8,705.62,430.58,464.89,98.72,96.95
00:18.9,706.97,430.79,463.55,98.05,98.23
00:19.0,708.34,430.98,462.19,97.25,99.56
00:19.0,709.74,431.16,460.81,96.32,100.98
00:19.1,711.15,431.32,459.41,95.37,102.39
00:19.1,712.58,431.46,457.98,94.42,103.8
00:19.1,714.03,431.58,456.54,93.5,105.21
00:19.2,715.5,431.68,455.07,92.61,106.63
00:19.3,716.99,431.75,453.58,91.75,108.09
00:19.3,718.51,431.81,452.07,90.98,109.59
00:19.4,720.04,431.85,450.54,90.31,111.08
00:19.4,721.59,431.86,448.98,89.76,112.54
00:19.5,723.17,431.86,447.41,89.28,114.01
00:19.5,724.76,431.84,445.82,88.71,115.52
00:19.6,726.37,431.8,444.2,87.98,117.04
00:19.6,728.01,431.75,442.57,87.09,118.52
00:19.6,729.67,431.67,440.91,86.15,120.01
00:19.7,731.34,431.57,439.24,85.32,121.48
00:19.7,733.04,431.44,437.55,84.65,122.89
00:19.8,734.76,431.3,435.84,84.06,124.28
00:19.8,736.5,431.13,434.11,83.51,125.68
00:19.9,738.25,430.93,432.37,82.97,127.04
00:20.0,740.02,430.72,430.61,82.4,128.38
00:20.0,741.82,430.49,428.83,81.77,129.68
00:20.1,743.63,430.23,427.04,81.07,130.97
00:20.1,745.45,429.96,425.23,80.31,132.21
00:20.1,747.3,429.66,423.41,79.43,133.45
00:20.2,749.16,429.33,421.58,78.56,134.74
00:20.3,751.04,428.98,419.73,77.79,135.92
00:20.3,752.94,428.6,417.87,76.95,137.14
00:20.4,754.85,428.19,416.01,76.21,138.37
00:20.4,756.78,427.76,414.13,75.62,139.58
00:20.5,758.72,427.29,412.24,75.08,140.76
00:20.5,760.69,426.8,410.33,74.56,141.94
00:20.5,762.67,426.29,408.42,74.01,143.09
00:20.6,764.66,425.75,406.5,73.35,144.26
00:20.6,766.67,425.19,404.57,72.76,145.45
00:20.7,768.7,424.61,402.63,72.24,146.53
00:20.8,770.74,424,400.68,71.55,147.64
00:20.8,772.8,423.37,398.72,70.9,148.77
00:20.8,774.87,422.71,396.75,70.19,149.79
00:20.9,776.96,422.03,394.78,69.36,150.93
00:21.0,779.07,421.31,392.8,68.65,152.04
00:21.0,781.18,420.57,390.82,68.22,153.12
00:21.1,783.32,419.8,388.83,67.89,154.17
00:21.1,785.47,419,386.83,67.49,155.24
00:21.1,787.63,418.19,384.83,67.05,156.3
00:21.2,789.81,417.36,382.81,66.59,157.29
00:21.2,791.99,416.5,380.8,65.83,158.13
00:21.3,794.2,415.63,378.77,64.72,159.11
00:21.4,796.41,414.72,376.75,63.49,160.13
00:21.4,798.64,413.78,374.73,62.54,161.21
00:21.5,800.89,412.8,372.71,62.07,162.16
00:21.5,803.15,411.78,370.69,61.69,163.17
00:21.5,805.42,410.73,368.68,61.43,164.18
00:21.6,807.71,409.66,366.66,61.1,165.13
00:21.7,810.01,408.56,364.64,60.44,166.12
00:21.7,812.32,407.43,362.62,59.75,167.1
00:21.8,814.65,406.28,360.6,59.13,168.06
00:21.8,816.99,405.09,358.58,58.54,168.99
00:21.9,819.34,403.88,356.56,57.89,169.92
00:21.9,821.71,402.64,354.54,57.28,170.86
00:22.0,824.09,401.37,352.53,56.62,171.74
00:22.0,826.48,400.08,350.52,55.87,172.68
00:22.1,828.89,398.75,348.51,55.26,173.57
00:22.1,831.3,397.4,346.51,54.62,174.42
00:22.1,833.73,396.01,344.52,53.88,175.33
00:22.2,836.17,394.6,342.53,53.27,176.21
00:22.3,838.63,393.15,340.54,52.84,177.08
00:22.3,841.09,391.68,338.57,52.52,177.95
00:22.4,843.57,390.19,336.59,52.17,178.8
00:22.4,846.06,388.67,334.62,51.66,179.63
00:22.5,848.56,387.13,332.65,51.02,180.52
00:22.5,851.07,385.57,330.68,50.54,181.36
00:22.6,853.6,383.98,328.72,50.1,182.14
00:22.6,856.13,382.37,326.76,49.4,182.94
00:22.7,858.68,380.73,324.81,48.66,183.81
00:22.7,861.24,379.07,322.86,48.25,184.59
00:22.8,863.81,377.38,320.93,48.04,185.38
00:22.8,866.39,375.67,319,47.9,186.17
00:22.9,868.98,373.94,317.07,47.68,186.94
00:22.9,871.58,372.19,315.14,47.25,187.73
00:23.0,874.19,370.42,313.22,46.69,188.52
00:23.0,876.82,368.64,311.29,46.04,189.26
00:23.1,879.45,366.83,309.38,45.39,190.05
00:23.1,882.1,364.99,307.48,44.99,190.81
00:23.1,884.75,363.14,305.58,44.75,191.53
00:23.2,887.41,361.26,303.68,44.38,192.25
00:23.2,890.09,359.37,301.79,43.94,193.08
00:23.3,892.77,357.46,299.91,43.6,193.77
00:23.3,895.47,355.52,298.03,43.15,194.56
00:23.4,898.18,353.57,296.16,42.89,195.33
00:23.5,900.9,351.59,294.29,42.8,196.03
00:23.5,903.62,349.61,292.42,42.63,196.47
00:23.6,906.34,347.61,290.56,42.56,195.4
00:23.6,909.04,345.64,288.73,42.67,193.19
00:23.6,911.71,343.68,286.91,42.87,190.33
00:23.7,914.33,341.76,285.13,43.04,187.01
00:23.8,916.9,339.88,283.38,43.14,183.43
00:23.8,919.42,338.04,281.65,43.17,179.83
00:23.8,921.9,336.23,279.97,43.23,176.17
00:23.9,924.32,334.46,278.31,43.33,172.65
00:23.9,926.69,332.73,276.68,43.39,169.56
00:24.0,929.03,331.03,275.08,43.62,166.73
00:24.0,931.32,329.37,273.5,43.82,163.68
00:24.1,933.58,327.74,271.95,43.95,160.73
00:24.1,935.79,326.14,270.42,44.08,157.84
00:24.2,937.96,324.57,268.91,44.21,154.84
00:24.2,940.09,323.04,267.43,44.35,151.83
00:24.3,942.18,321.55,265.98,44.47,148.82
00:24.4,944.22,320.08,264.55,44.59,145.8
00:24.4,946.23,318.65,263.14,44.71,142.78
00:24.4,948.19,317.25,261.77,44.85,139.71
00:24.5,950.11,315.89,260.42,44.94,136.69
00:24.6,951.99,314.56,259.09,45.06,133.76
00:24.6,953.82,313.26,257.79,45.29,130.94
00:24.6,955.63,311.99,256.51,45.47,128.25
00:24.7,957.39,310.75,255.26,45.59,125.65
00:24.8,959.12,309.54,254.03,45.71,123.01
00:24.8,960.81,308.36,252.82,45.85,120.33
00:24.8,962.46,307.21,251.63,46.02,117.56
00:24.9,964.07,306.09,250.47,46.2,114.75
00:24.9,965.65,305,249.34,46.47,111.87
00:25.0,967.18,303.94,248.23,46.66,109.13
00:25.1,968.68,302.91,247.14,46.82,106.51
00:25.1,970.14,301.91,246.07,47.15,104.18
00:25.1,971.57,300.93,245.03,47.43,101.7
00:25.2,972.97,299.99,244,47.67,99.3
00:25.3,974.33,299.07,242.99,47.89,97.02
00:25.3,975.66,298.18,242,48.15,94.99
