,sLapDistance,xCarX,xCarY,aYaw,vCar
00:22.8,622.73,-104.69,342.13,-75.36,67.12
00:22.8,623.67,-104.91,343.04,-76.75,67.98
00:22.9,624.61,-105.12,343.96,-78.16,68.84
00:22.9,625.57,-105.33,344.9,-79.54,69.69
00:23.0,626.54,-105.52,345.85,-80.81,70.61
00:23.0,627.53,-105.71,346.82,-81.89,71.68
00:23.1,628.53,-105.88,347.81,-82.54,72.62
00:23.1,629.54,-106.03,348.8,-82.53,72.49
00:23.1,630.54,-106.18,349.79,-82.1,71.83
00:23.2,631.53,-106.33,350.77,-81.39,70.97
00:23.2,632.52,-106.5,351.73,-80.21,69.92
00:23.3,633.49,-106.7,352.67,-78.42,68.73
00:23.3,634.44,-106.93,353.59,-76.2,67.55
00:23.4,635.38,-107.19,354.48,-73.77,66.55
00:23.5,636.3,-107.49,355.35,-71.26,65.67
00:23.5,637.22,-107.82,356.19,-68.7,64.79
00:23.6,638.12,-108.19,357,-66.23,63.95
00:23.6,639,-108.58,357.79,-63.96,63.12
00:23.6,639.88,-108.99,358.56,-61.71,62.27
00:23.7,640.74,-109.43,359.3,-59.25,61.44
00:23.8,641.59,-109.9,360.01,-56.42,60.65
00:23.8,642.44,-110.39,360.69,-53.27,60.01
00:23.8,643.28,-110.9,361.33,-50.29,59.43
00:23.9,644.1,-111.45,361.95,-47.84,58.85
00:23.9,644.92,-112.01,362.54,-45.85,58.23
00:24.0,645.73,-112.59,363.09,-43.76,57.57
00:24.0,646.53,-113.2,363.61,-41.28,57.23
00:24.1,647.33,-113.83,364.1,-38.7,57.5
00:24.1,648.14,-114.47,364.57,-36.35,58.07
00:24.2,648.95,-115.15,365.02,-34.09,58.66
00:24.2,649.77,-115.84,365.46,-31.76,59.25
00:24.3,650.6,-116.56,365.87,-29.43,59.88
00:24.4,651.44,-117.3,366.25,-27.13,60.59
00:24.4,652.29,-118.07,366.62,-24.79,61.5
00:24.4,653.16,-118.86,366.96,-22.46,62.58
00:24.5,654.04,-119.67,367.28,-20.31,63.78
