,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:21.8,552,-50.36,336.4,22.55,105.61,,,
00:21.8,553.46,-51.71,335.85,22.8,104.47,,,
00:21.9,554.9,-53.04,335.29,23.05,103.25,,,
00:21.9,556.32,-54.35,334.73,23.29,101.87,,,
00:22.0,557.73,-55.64,334.18,23.47,100.37,,,
00:22.0,559.11,-56.91,333.63,23.55,98.85,,,
00:22.1,560.47,-58.16,333.09,23.6,97.26,,,
00:22.1,561.81,-59.39,332.56,23.62,95.58,,,
00:22.1,563.13,-60.59,332.03,23.54,93.9,,,
00:22.2,564.42,-61.78,331.52,23.4,92.19,,,
00:22.3,565.69,-62.94,331.01,23.2,90.47,,,
00:22.3,566.93,-64.09,330.53,22.9,88.71,,,
00:22.4,568.15,-65.22,330.06,22.47,86.98,,,
00:22.4,569.35,-66.32,329.61,21.85,85.34,,,
00:22.5,570.53,-67.42,329.17,21.09,83.74,,,
00:22.5,571.68,-68.49,328.76,20.37,82.12,,,
