,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:19.3,770.64,-216.95,80.42,-179.27,114.2,,,
00:19.4,772.24,-215.36,80.45,-179.4,115.8,,,
00:19.4,773.86,-213.74,80.46,-179.51,117.39,,,
00:19.5,775.5,-212.1,80.48,-179.55,118.93,,,
00:19.5,777.17,-210.43,80.5,-179.54,120.47,,,
00:19.6,778.85,-208.75,80.51,-179.49,121.92,,,
00:19.6,780.55,-207.05,80.53,-179.41,123.3,,,
00:19.6,782.27,-205.33,80.55,-179.34,124.61,,,
00:19.7,784.01,-203.59,80.57,-179.26,125.78,,,
00:19.7,785.77,-201.83,80.59,-179.19,126.97,,,
00:19.8,787.54,-200.06,80.61,-179.06,127.95,,,
00:19.8,789.32,-198.28,80.64,-178.93,129.48,,,
00:19.9,791.14,-196.47,80.67,-178.83,131.13,,,
00:20.0,792.96,-194.64,80.7,-178.8,132.38,,,
00:20.0,794.81,-192.79,80.73,-178.78,133.51,,,
00:20.1,796.67,-190.93,80.77,-178.76,134.66,,,
00:20.1,798.55,-189.05,80.81,-178.75,135.91,,,
00:20.1,800.45,-187.15,80.85,-178.74,137.3,,,
00:20.2,802.36,-185.24,80.89,-178.75,138.65,,,
00:20.3,804.3,-183.3,80.93,-178.76,139.88,,,
00:20.3,806.25,-181.35,80.98,-178.78,141.12,,,
00:20.4,808.22,-179.38,81.02,-178.78,142.36,,,
00:20.4,810.2,-177.4,81.06,-178.78,143.55,,,
00:20.5,812.2,-175.4,81.1,-178.79,144.63,,,
00:20.5,814.22,-173.38,81.15,-178.8,145.66,,,
00:20.5,816.25,-171.35,81.19,-178.82,146.99,,,
00:20.6,818.3,-169.3,81.23,-178.84,148.2,,,
00:20.6,820.37,-167.24,81.28,-178.85,149.32,,,
00:20.7,822.45,-165.15,81.32,-178.88,150.45,,,
00:20.8,824.55,-163.06,81.36,-178.91,151.56,,,
00:20.8,826.66,-160.95,81.4,-178.94,152.6,,,
00:20.8,828.79,-158.82,81.44,-178.97,153.68,,,
00:20.9,830.93,-156.68,81.48,-179.01,154.73,,,
00:21.0,833.09,-154.52,81.52,-179.04,155.94,,,
00:21.0,835.26,-152.35,81.56,-179.07,157.01,,,
00:21.1,837.45,-150.16,81.59,-179.08,158.05,,,
00:21.1,839.65,-147.96,81.63,-179.09,159.11,,,
00:21.1,841.87,-145.74,81.67,-179.09,160.14,,,
00:21.2,844.1,-143.51,81.7,-179.09,161.1,,,
00:21.2,846.34,-141.27,81.74,-179.08,162.01,,,
00:21.3,848.6,-139.01,81.78,-179.07,163.17,,,
