,sLapDistance,xCarX,xCarY,vCar
00:21.2,984.41,251.22,347.32,175.99
00:21.3,986.87,252.8,349.19,177.51
00:21.4,989.34,254.39,351.07,178.57
00:21.4,991.82,255.99,352.97,179.64
00:21.5,994.33,257.6,354.88,181.51
00:21.5,996.87,259.21,356.82,183.52
00:21.5,999.42,260.81,358.8,185.09
00:21.6,1002.01,262.4,360.82,186.73
00:21.7,1004.61,263.97,362.89,188.3
00:21.7,1007.24,265.52,365,189.85
00:21.8,1009.89,267.04,367.15,191.38
00:21.8,1012.55,268.55,369.34,192.9
00:21.9,1015.24,270.05,371.57,194.4
00:21.9,1017.95,271.52,373.83,195.89
00:22.0,1020.68,272.99,376.13,197.37
00:22.0,1023.44,274.44,378.46,198.82
00:22.1,1026.2,275.87,380.82,199.93
00:22.1,1028.98,277.29,383.2,199.34
00:22.1,1031.73,278.67,385.57,196.6
00:22.2,1034.43,280.03,387.9,193.35
00:22.3,1037.1,281.36,390.2,190.07
00:22.3,1039.71,282.66,392.46,186.91
00:22.4,1042.29,283.95,394.69,183.65
00:22.4,1044.81,285.21,396.87,180.12
00:22.5,1047.29,286.45,399,176.4
00:22.5,1049.71,287.67,401.08,172.55
00:22.6,1052.09,288.88,403.12,169.02
00:22.6,1054.41,290.06,405.11,165.57
00:22.7,1056.69,291.23,407.05,161.96
00:22.7,1058.91,292.38,408.95,158.43
00:22.8,1061.09,293.5,410.81,155.04
00:22.8,1063.22,294.61,412.62,151.48
00:22.9,1065.29,295.7,414.38,147.53
00:22.9,1067.31,296.77,416.09,143.92
00:23.0,1069.29,297.82,417.76,140.51
00:23.0,1071.22,298.86,419.38,137.35
00:23.1,1073.11,299.87,420.97,134.61
00:23.1,1074.96,300.87,422.51,131.62
00:23.1,1076.76,301.86,424.02,128
00:23.2,1078.51,302.82,425.48,124.42
00:23.2,1080.22,303.77,426.89,121
00:23.3,1081.88,304.71,428.25,117.85
00:23.3,1083.5,305.62,429.58,114.88
00:23.4,1085.07,306.53,430.87,112.15
00:23.5,1086.61,307.42,432.11,109.25
00:23.5,1088.11,308.31,433.31,106.33
00:23.6,1089.56,309.19,434.47,103.48
00:23.6,1090.98,310.07,435.58,100.82
00:23.6,1092.37,310.93,436.66,98.39
00:23.7,1093.71,311.79,437.7,96.15
00:23.8,1095.04,312.65,438.7,93.98
00:23.8,1096.32,313.5,439.66,91.68
00:23.8,1097.58,314.35,440.59,89.42
00:23.9,1098.81,315.19,441.47,87.41
00:23.9,1100.01,316.04,442.32,85.35
00:24.0,1101.18,316.87,443.14,83.52
00:24.0,1102.33,317.71,443.92,81.69
00:24.1,1103.45,318.55,444.66,79.77
00:24.1,1104.54,319.39,445.36,77.96
00:24.2,1105.61,320.22,446.02,75.97
00:24.2,1106.65,321.05,446.65,73.95
00:24.3,1107.67,321.88,447.23,72.23
00:24.4,1108.66,322.7,447.78,70.66
00:24.4,1109.63,323.53,448.29,69.2
00:24.4,1110.59,324.35,448.76,67.88
00:24.5,1111.52,325.18,449.19,66.59
00:24.6,1112.44,326,449.58,65.32
00:24.6,1113.34,326.82,449.94,64.06
00:24.6,1114.23,327.64,450.26,62.92
00:24.7,1115.1,328.46,450.54,62
00:24.8,1115.96,329.28,450.78,61.24
00:24.8,1116.81,330.1,450.99,60.58
